Sentence_no,Token,Token_ID,Token_TYPE,Token_no,Partition
21,prohibits,P,NONE,16,3
21,"layouts,",P,NONE,17,3
21,the,P,NONE,18,3
21,metadata,P,NONE,19,3
21,server,P,NONE,20,3
21,MUST,P,NONE,21,3
21,return,T188,Op_return,22,3
21,NFS4ERR_LAYOUTTRYLATER,T179,Value,23,3
21,.,P,NONE,24,3
22,If,T149,if_else,0,3
22,the,P,NONE,1,3
22,layout,T125,Variable,2,3
22,request,T125,Variable,3,3
22,is,T151,Pred_Name,4,3
22,rejected,T151,Pred_Name,5,3
22,due,T154,Pred_Name,6,3
22,to,T154,Pred_Name,7,3
22,an,P,NONE,8,3
22,overlapping,T152,Func_Name,9,3
22,layout,T65,Variable,10,3
22,recall,T65,Variable,11,3
22,",",P,NONE,12,3
22,the,P,NONE,13,3
22,metadata,P,NONE,14,3
22,server,P,NONE,15,3
22,MUST,P,NONE,16,3
22,return,T156,Op_return,17,3
22,NFS4ERR_RECALLCONFLICT,T157,Value,18,3
22,.,P,NONE,19,3
23,If,T167,if_else,0,3
23,the,P,NONE,1,3
23,layout,T168,Variable,2,3
23,conflicts,T169,Pred_Name,3,3
23,with,T169,Pred_Name,4,3
23,a,P,NONE,5,3
23,mandatory,T170,Variable,6,3
23,byte-range,T170,Variable,7,3
23,lock,T170,Variable,8,3
23,held,T171,Func_Name,9,3
23,on,T171,Func_Name,10,3
23,the,P,NONE,11,3
23,file,T172,Variable,12,3
23,",",P,NONE,13,3
23,and,T173,and,14,3
23,if,P,NONE,15,3
23,the,P,NONE,16,3
23,storage,T213,Variable,17,3
23,devices,T213,Variable,18,3
23,have,T174,Pred_Name,19,3
23,no,T174,Pred_Name,20,3
23,method,T174,Pred_Name,21,3
23,of,T242,Pred_Name,22,3
23,enforcing,T242,Pred_Name,23,3
23,mandatory,T243,Variable,24,3
23,locks,T243,Variable,25,3
23,",",P,NONE,26,3
23,other,P,NONE,27,3
23,than,P,NONE,28,3
23,through,P,NONE,29,3
23,the,P,NONE,30,3
23,restriction,P,NONE,31,3
23,of,P,NONE,32,3
23,"layouts,",P,NONE,33,3
23,the,P,NONE,34,3
23,metadata,P,NONE,35,3
23,server,P,NONE,36,3
23,SHOULD,P,NONE,37,3
23,return,T165,Op_return,38,3
23,NFS4ERR_LOCKED,T166,Value,39,3
23,.,P,NONE,40,3
24,The,P,NONE,0,2
24,target,T1,Variable,1,2
24,file,T1,Variable,2,2
24,is,T2,Pred_Name,3,2
24,specified,T2,Pred_Name,4,2
24,by,T2,Pred_Name,5,2
24,the,P,NONE,6,2
24,current,T3,Variable,7,2
24,filehandle,T3,Variable,8,2
24,.,P,NONE,9,2
25,The,P,NONE,0,2
25,offset,T4,Variable,1,2
25,specifies,T5,Pred_Name,2,2
25,the,P,NONE,3,2
25,offset,T163,Variable,4,2
25,where,P,NONE,5,2
25,the,P,NONE,6,2
25,data,T6,Pred_Name,7,2
25,should,T6,Pred_Name,8,2
25,be,T6,Pred_Name,9,2
25,written,T6,Pred_Name,10,2
25,.,P,NONE,11,2
26,An,T10,if_else,0,2
26,offset,T7,Variable,1,2
26,of,T8,Pred_Name,2,2
26,0,T9,Value,3,2
26,(zero),P,NONE,4,2
26,specifies,P,NONE,5,2
26,that,P,NONE,6,2
26,the,T11,Op_return,7,2
26,write,T11,Op_return,8,2
26,should,T12,Pred_Name,9,2
26,start,T12,Pred_Name,10,2
26,at,T12,Pred_Name,11,2
26,the,P,NONE,12,2
26,beginning,T13,Func_Name,13,2
26,of,T13,Func_Name,14,2
26,the,T14,Variable,15,2
26,file,T14,Variable,16,2
26,.,P,NONE,17,2
27,The,P,NONE,0,2
27,count,T15,Variable,1,2
27,",",P,NONE,2,2
27,as,P,NONE,3,2
27,encoded,P,NONE,4,2
27,as,P,NONE,5,2
27,part,P,NONE,6,2
27,of,P,NONE,7,2
27,the,P,NONE,8,2
27,opaque,P,NONE,9,2
27,data,P,NONE,10,2
27,"parameter,",P,NONE,11,2
27,represents,T16,Pred_Name,12,2
27,the,P,NONE,13,2
27,number,T17,Pred_Name,14,2
27,of,T17,Pred_Name,15,2
27,bytes,T17,Pred_Name,16,2
27,of,T17,Pred_Name,17,2
27,data,T17,Pred_Name,18,2
27,that,T17,Pred_Name,19,2
27,are,T17,Pred_Name,20,2
27,to,T17,Pred_Name,21,2
27,be,T17,Pred_Name,22,2
27,written,T17,Pred_Name,23,2
27,.,P,NONE,24,2
28,If,T18,if_else,0,2
28,the,P,NONE,1,2
28,count,T19,Variable,2,2
28,is,T20,Pred_Name,3,2
28,0,T21,Value,4,2
28,"(zero),",P,NONE,5,2
28,the,P,NONE,6,2
28,WRITE,P,NONE,7,2
28,will,P,NONE,8,2
28,succeed,P,NONE,9,2
28,and,P,NONE,10,2
28,return,T26,Op_return,11,2
28,a,P,NONE,12,2
28,count,T27,Variable,13,2
28,of,T28,Pred_Name,14,2
28,0,T23,Value,15,2
28,(zero),P,NONE,16,2
28,subject,T24,and,17,2
28,to,T24,and,18,2
28,permissions,T25,Pred_Name,19,2
28,checking,T25,Pred_Name,20,2
28,.,P,NONE,21,2
29,If,T22,if_else,0,2
29,stable,T29,Variable,1,2
29,is,T30,Pred_Name,2,2
29,FILE_SYNC4,T31,Value,3,2
29,",",P,NONE,4,2
29,the,P,NONE,5,2
29,server,P,NONE,6,2
29,must,P,NONE,7,2
29,commit,T33,Func_Name,8,2
29,the,P,NONE,9,2
29,data,T34,Variable,10,2
29,written,P,NONE,11,2
29,plus,T35,and,12,2
29,all,T36,Variable,13,2
29,file,T36,Variable,14,2
29,system,T36,Variable,15,2
29,metadata,T36,Variable,16,2
29,to,T37,Pred_Name,17,2
29,stable,T37,Pred_Name,18,2
29,storage,T37,Pred_Name,19,2
29,before,P,NONE,20,2
29,returning,P,NONE,21,2
29,results,P,NONE,22,2
29,.,P,NONE,23,2
30,If,T38,if_else,0,2
30,stable,T39,Variable,1,2
30,is,T40,Pred_Name,2,2
30,DATA_SYNC4,T41,Value,3,2
30,",",P,NONE,4,2
30,then,P,NONE,5,2
30,the,P,NONE,6,2
30,server,P,NONE,7,2
30,must,P,NONE,8,2
30,commit,T43,Func_Name,9,2
30,all,P,NONE,10,2
30,of,P,NONE,11,2
30,the,P,NONE,12,2
30,data,T44,Variable,13,2
30,to,T45,Pred_Name,14,2
30,stable,T45,Pred_Name,15,2
30,storage,T45,Pred_Name,16,2
30,and,T47,and,17,2
30,enough,T46,Variable,18,2
30,of,T46,Variable,19,2
30,the,T46,Variable,20,2
30,metadata,T46,Variable,21,2
30,to,T46,Variable,22,2
30,retrieve,T46,Variable,23,2
30,the,T46,Variable,24,2
30,data,T46,Variable,25,2
30,before,P,NONE,26,2
30,returning,P,NONE,27,2
30,.,P,NONE,28,2
31,If,T48,if_else,0,2
31,stable,T49,Variable,1,2
31,is,T50,Pred_Name,2,2
31,UNSTABLE4,T51,Value,3,2
31,",",P,NONE,4,2
31,the,P,NONE,5,2
31,server,P,NONE,6,2
31,is,P,NONE,7,2
31,free,P,NONE,8,2
31,to,P,NONE,9,2
31,commit,T53,Func_Name,10,2
31,any,T54,Variable,11,2
31,part,T54,Variable,12,2
31,of,T54,Variable,13,2
31,the,T54,Variable,14,2
31,data,T54,Variable,15,2
31,and,T55,and,16,2
31,the,P,NONE,17,2
31,metadata,T56,Variable,18,2
31,to,P,NONE,19,2
31,stable,P,NONE,20,2
31,"storage,",P,NONE,21,2
31,including,P,NONE,22,2
31,all,T58,Pred_Name,23,2
31,or,T57,or,24,2
31,none,T59,Pred_Name,25,2
31,",",P,NONE,26,2
31,before,P,NONE,27,2
31,returning,P,NONE,28,2
31,a,P,NONE,29,2
31,reply,P,NONE,30,2
31,to,P,NONE,31,2
31,the,P,NONE,32,2
31,client,P,NONE,33,2
31,.,P,NONE,34,2
32,The,P,NONE,0,2
32,count,T60,Variable,1,2
32,result,T60,Variable,2,2
32,is,T61,Pred_Name,3,2
32,the,P,NONE,4,2
32,number,T62,Variable,5,2
32,of,T62,Variable,6,2
32,bytes,T62,Variable,7,2
32,of,T62,Variable,8,2
32,data,T62,Variable,9,2
32,written,T63,Func_Name,10,2
32,to,T63,Func_Name,11,2
32,the,T64,Variable,12,2
32,file,T64,Variable,13,2
32,.,P,NONE,14,2
33,If,T65,if_else,0,2
33,so,T66,Pred_Name,1,2
33,",",P,NONE,2,2
33,the,P,NONE,3,2
33,actual,T67,Variable,4,2
33,number,T67,Variable,5,2
33,of,T67,Variable,6,2
33,bytes,T67,Variable,7,2
33,written,T67,Variable,8,2
33,starting,T68,Pred_Name,9,2
33,at,T68,Pred_Name,10,2
33,"location,",P,NONE,11,2
33,offset,T69,Variable,12,2
33,",",P,NONE,13,2
33,is,P,NONE,14,2
33,returned,T70,Op_return,15,2
33,.,P,NONE,16,2
34,If,T71,if_else,0,2
34,the,P,NONE,1,2
34,server,P,NONE,2,2
34,committed,T113,Func_Name,3,2
34,all,T115,Variable,4,2
34,data,T115,Variable,5,2
34,and,T114,and,6,2
34,metadata,T116,Variable,7,2
34,to,P,NONE,8,2
34,stable,T117,Pred_Name,9,2
34,storage,T117,Pred_Name,10,2
34,",",P,NONE,11,2
34,committed,T104,Variable,12,2
34,should,P,NONE,13,2
34,be,P,NONE,14,2
34,set,T109,Func_Name,15,2
34,to,T109,Func_Name,16,2
34,FILE_SYNC4,T77,Value,17,2
34,.,P,NONE,18,2
35,If,T72,if_else,0,2
35,the,P,NONE,1,2
35,level,T110,Variable,2,2
35,of,T110,Variable,3,2
35,commitment,T110,Variable,4,2
35,was,P,NONE,5,2
35,at,T111,Pred_Name,6,2
35,least,T111,Pred_Name,7,2
35,as,T111,Pred_Name,8,2
35,strong,T111,Pred_Name,9,2
35,as,T111,Pred_Name,10,2
35,DATA_SYNC4,T78,Value,11,2
35,",",P,NONE,12,2
35,then,P,NONE,13,2
35,committed,T105,Variable,14,2
35,should,P,NONE,15,2
35,be,P,NONE,16,2
35,set,T108,Func_Name,17,2
35,to,T108,Func_Name,18,2
35,DATA_SYNC4,T79,Value,19,2
35,.,P,NONE,20,2
36,Otherwise,T73,Pred_Name,0,2
36,",",P,NONE,1,2
36,committed,T106,Variable,2,2
36,must,P,NONE,3,2
36,be,P,NONE,4,2
36,returned,T107,Func_Name,5,2
36,as,T107,Func_Name,6,2
36,UNSTABLE4,T80,Value,7,2
36,.,P,NONE,8,2
37,If,T74,if_else,0,2
37,stable,T94,Variable,1,2
37,was,T95,Pred_Name,2,2
37,FILE4_SYNC,T81,Value,3,2
37,",",P,NONE,4,2
37,then,P,NONE,5,2
37,committed,T99,Variable,6,2
37,must,T101,Pred_Name,7,2
37,also,T101,Pred_Name,8,2
37,be,T101,Pred_Name,9,2
37,FILE_SYNC4,T82,Value,10,2
37,:,P,NONE,11,2
37,anything,P,NONE,12,2
37,else,P,NONE,13,2
37,constitutes,P,NONE,14,2
37,a,P,NONE,15,2
37,protocol,P,NONE,16,2
37,violation,P,NONE,17,2
37,.,P,NONE,18,2
38,If,T75,if_else,0,2
38,stable,T93,Variable,1,2
38,was,T96,Pred_Name,2,2
38,DATA_SYNC4,T88,Value,3,2
38,",",P,NONE,4,2
38,then,P,NONE,5,2
38,committed,T98,Variable,6,2
38,may,T102,Pred_Name,7,2
38,be,T102,Pred_Name,8,2
38,FILE_SYNC4,T84,Value,9,2
38,or,T90,or,10,2
38,DATA_SYNC4,T83,Value,11,2
38,:,P,NONE,12,2
38,anything,P,NONE,13,2
38,else,P,NONE,14,2
38,constitutes,P,NONE,15,2
38,a,P,NONE,16,2
38,protocol,P,NONE,17,2
38,violation,P,NONE,18,2
38,.,P,NONE,19,2
39,If,T76,if_else,0,2
39,stable,T92,Variable,1,2
39,was,T97,Pred_Name,2,2
39,UNSTABLE4,T89,Value,3,2
39,",",P,NONE,4,2
39,then,P,NONE,5,2
39,committed,T100,Variable,6,2
39,may,T103,Pred_Name,7,2
